__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
;;;;Radom;;;;;;;;;
Warszawa Zachodnia;o o;18:39;18:46;19:05;;19:39;20:05;20:39;21:05;21:39;22:39;23:39;
Warszawa Ochota;;18:43; <;19:09;;19:43;20:09;20:43;21:09;21:43;22:43;23:43;
Warszawa Śródmieście;o;18:46;< ;19:12;;19:46;20:12;20:46;21:12;21:46;22:46;23:46;
Warszawa Centralna;p;< ;18:50;< ;;< ;< ;< ;< ;< ;< ;< ;
Warszawa Centralna;o;< ;18:55;< ;;< ;< ;< ;< ;< ;< ;< ;
Warszawa Powiśle;o o;18:49;< ;19:15;;19:49;20:15;20:49;21:15;21:49;22:49;23:49;
Warszawa Stadion;;18:51;< ;19:17;;19:51;20:17;20:51;21:17;21:51;22:51;23:51;
Warszawa Wschodnia;p;18:53;19:01;19:19;;19:53;20:19;20:53;21:19;21:53;22:53;23:53;
Warszawa Wschodnia;o;18:54;19:10;19:20;;19:54;20:20;20:54;21:20;21:54;22:54;23:54;
Warszawa Rembertów;p;19:00;|;19:27;;20:00;20:27;21:00;21:27;22:00;23:00;00:01;
Warszawa Rembertów;o;19:01;|;19:28;;20:01;20:28;21:01;21:28;22:01;23:01;00:02;
W-wa Wesoła;o o;19:05;|;19:32;;20:05;20:32;21:05;21:32;22:05;23:05;00:06;
W-wa Wola Grzybowska;;19:08;|;19:34;;20:08;20:34;21:08;21:34;22:08;23:08;00:08;
Sulejówek;o;19:10;|;19:37;;20:10;20:37;21:10;21:37;22:10;23:10;00:11;
Sulejówek Miłosna;p;19:12;|;19:39;;20:12;20:39;21:12;21:39;22:12;23:12;00:13;
Sulejówek Miłosna;o;19:12;|;19:39;;20:12;20:39;21:12;21:39;22:12;23:12;00:13;
Halinów;o o;19:16;19:26;19:43;;20:16;20:43;21:16;21:43;22:16;23:16;00:17;
Cisie;;19:19;|;19:46;;20:19;20:46;21:19;21:46;22:19;23:19;00:20;
Dębe Wielkie;o o;19:21;|;19:49;;20:21;20:49;21:21;21:49;22:21;23:21;00:23;
Nowe Dębe Wielkie;;19:23;|;19:51;;20:23;20:51;21:23;21:51;22:23;23:23;00:25;
Wrzosów;o;19:26;|;19:54;;20:26;20:54;21:26;21:54;22:26;23:26;00:28;
