R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
;;o;09:36;; ;;10:40;; ;11:28;11:30;; ;12:40
46,169;Miñsk Maz. Anielina Barcz¹ca;o o;09:39;;;;10:43;;;11:30;11:33;;;12:43
49,225;;;09:42;;;;10:46;;;11:33;11:36;;;12:46
53,486;Mienia Ceg³ów;o o;09:45;;;;10:49;;;11:37;11:40;;;12:49
56,866;;;09:48;;;;10:52;;;11:40;11:43;;;12:52
61,767;Mrozy;p;09:52;;;;10:56;;;11:43;11:47;;;12:56
66,876;Grodziszcze Maz.;o o;09:52;;;;10:56;;;11:44;11:47;;;12:56
;;;09:56;;;;11:00;;;11:48;11:51;;;13:00
71,847;Sosnowe Koszewnica;o o;10:00;;;;11:04;;;11:52;11:55;;;13:04
75,251;;;10:03;;;;11:07;;;11:55;11:59;;;13:07
80,51;Kotuñ Sabinka;o o;10:07;;;;11:11;;;11:59;12:03;;;13:11
88,427;;;10:12;;;;11:16;;;12:04;12:09;;;13:16
92,945;Siedlce Zach.;o;10:16;;;;11:19;;;12:07;12:13;;;13:19
95,776;Siedlce;p;10:19; ;;;11:22; ;;12:10;12:15; ;;13:22
;;o; ;10:24;;; ;11:35;; ; ;12:16;; 
98,496;Siedlce Wschodnie;o o;;10:28;;;;11:38;;;;12:19;;
100,417;Bia³ki Siedleckie;;;10:31;;;;11:41;;;;12:22;;
103,415;Kosiorki;o o;;10:34;;;;11:44;;;;12:25;;
105,962;Borki Kosy;;;10:37;;;;11:47;;;;12:28;;
110,404;Dziewule Radomyœl;o o;;10:41;;;;11:51;;;;12:32;;
113,036;;;;10:44;;;;11:54;;;;12:35;;
115,76;Krynka £ukowska;o p;;10:47;;;;11:57;;;;12:38;;
123,53;£uków;;;10:53;;;;12:02;;;;12:44;;
Do stacji : ;;;;Terespol;;;;;;;;Terespol;;
LEGENDA :;;;;;;;;;;;;;;
(D) kursuje od poniedzia³ku do pi¹tku oprócz œwi¹t (E) kursuje od poniedzia³ku do soboty oprócz œwi¹t kolorem niebieskim oznaczono poc. spó³ki Przewozy Regionalne UWAGI :;;;;;;;;;;;;;;
R2;;;R2;R2;19251 CZEREMSZAK;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa - £uków wa¿ny od 23.XI do 8.XII;;;10459;93810/1;;19869;10461 (D);93804/5;19871;10463;93812/3;19873;19809;11805
Km Od stacji : ;;;;(D);;;;;;;;;;
;;;;Sochaczew;;;;£owicz G³ówny;;;Sochaczew;;;
0;Warszawa Zachodnia Warszawa Ochota;o o;;12:10;;12:47;;12:58;13:36;;14:13;14:47;14:58;
2,175;;;;12:14;;12:51;;13:02;13:40;;14:17;14:51;15:02;
3,082;Warszawa Œródmieœcie;o;;12:17;;12:54;;13:05;13:43;;14:20;14:54;15:05;
3,082;Warszawa Centralna;p;;< ;;< ;;< ;< ;;< ;< ;< ;
;;o;;< ;;< ;;< ;< ;;< ;< ;< ;
4,872;Warszawa Powiœle Warszawa Stadion;o o;;12:20;;12:57;;13:08;13:46;;14:23;14:57;15:08;
6,278;;;;12:22;;13:00;;13:11;13:49;;14:25;15:00;15:11;
7,336;Warszawa Wschodnia;p;;12:24; ;13:02;;13:13;13:51;;14:27;15:02;15:13;
;;o;;12:25;12:47;13:03;;13:15;13:52;;14:28;15:03;15:14;
14,835;Warszawa Rembertów;p;;12:32;12:56;13:09;;13:22;13:59;;14:35;15:09;15:20;
;;o;;12:33;12:57;13:10;;13:23;14:00;;14:36;15:10;15:21;
19,467;W-wa Weso³a;o o;;12:37;|;13:15;;13:28;14:04;;14:41;15:15;15:25;
21,265;W-wa Wola Grzybowska;;;12:40;|;13:17;;13:30;14:06;;14:43;15:17;15:27;
23,071;Sulejówek;o;;12:42;|;13:20;;13:33;14:09;;14:46;15:20;15:30;
24,649;Sulejówek Mi³osna;p;;12:44;|;13:21;;13:35;14:11;;14:48;15:21;15:32;
;;o;;12:45;|;13:22;;13:36;14:11;;14:48;15:22;15:32;
28,746;Halinów Cisie;o o;;12:48;13:07;13:25;;13:40;14:15;;14:52;15:25;15:36;
31,895;;;;12:51;|;13:28;;13:43;14:18;;14:55;15:28;15:39;
34,433;Dêbe Wielkie;o o;;12:54;|;13:31;;13:46;14:20;;14:58;15:31;15:42;
35,743;Nowe Dêbe Wielkie;;;12:56;|;13:33;;13:48;14:22;;15:00;15:33;15:44;
38,882;Wrzosów;o;;12:59;|;13:36;;13:51;14:25;;15:03;15:36;15:47;
43,677;Miñsk Maz.;p;;13:04;13:17;13:39;;13:55;14:29;;15:08;15:39;15:51;
;;o;; ;13:18;13:40;; ;14:40;; ;15:40; ;
46,169;Miñsk Maz. Anielina Barcz¹ca;o o;;;13:21;13:43;;;14:42;;;15:43;;
49,225;;;;;|;13:46;;;14:45;;;15:46;;
53,486;Mienia Ceg³ów;o o;;;|;13:49;;;14:49;;;15:49;;
56,866;;;;;13:29;13:52;;;14:52;;;15:52;;
61,767;Mrozy;p;;;13:33;13:56;;;14:55;;;15:56;;
66,876;Grodziszcze Maz.;o o;;;13:33;13:56;;;14:56;;;15:56;;
;;;;;|;14:00;;;15:00;;;16:00;;
71,847;Sosnowe Koszewnica;o o;;;|;14:04;;;15:04;;;16:04;;
75,251;;;;;|;14:07;;;15:07;;;16:07;;
80,51;Kotuñ Sabinka;o o;;;13:45;14:11;;;15:11;;;16:11;;
88,427;;;;;|;14:16;;;15:16;;;16:16;;
92,945;Siedlce Zach.;o;;;13:54;14:19;;;15:19;;;16:19;;
95,776;Siedlce;p; ;;13:57;14:22; ;;15:22; ;;16:22;; 
;;o;13:35;;13:58; ;14:35;; ;15:52;; ;;16:39
98,496;Siedlce Wschodnie;o o;13:38;;;;14:38;;;15:55;;;;16:42
100,417;Bia³ki Siedleckie;;13:41;;;;14:41;;;15:58;;;;16:45
103,415;Kosiorki;o o;13:44;;;;14:44;;;16:01;;;;16:48
105,962;Borki Kosy;;13:47;;;;14:47;;;16:04;;;;16:51
110,404;Dziewule Radomyœl;o o;13:51;;;;14:51;;;16:08;;;;16:55
113,036;;;13:54;;;;14:54;;;16:11;;;;16:58
115,76;Krynka £ukowska;o p;13:57;;;;14:57;;;16:14;;;;17:01
123,53;£uków;;14:02;;;;15:02;;;16:19;;;;17:07
Do stacji : ;;;;;Czeremcha;;;;;;;;;Terespol
[1];kursuje w (7) LEGENDA :;;;;;;;;;;;;;
(D) kursuje od poniedzia³ku do pi¹tku oprócz œwi¹t kolorem niebieskim oznaczono poc. spó³ki Przewozy Regionalne;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
R2;;;R2;RE2;R2;R2;R2;R2;19231;RE7;R2;R2;R2;R2
Warszawa - £uków wa¿ny od 23.XI do 8.XII;;;21940/1;19221 (D);93840/1;19875;93824/5;99223 (D);£UKOWIANKA;19213;93842/3;19877;10465;93850/1
Km Od stacji : ;;;(D);;(D);;(D);;(B);(B) [1];(D);;;(D)
;;;Warka;;B³onie;;GRODZISK MAZ.;;;;B³onie;;;Góra Kalwaria
0;Warszawa Zachodnia Warszawa Ochota;o o;15:09;15:15 <;15:28;15:47;16:06;16:10;16:22 <;;16:36;16:47;;16:59
2,175;;;15:13;;15:32;15:51;16:10;16:14;;;16:40;16:51;;17:03
3,082;Warszawa Œródmieœcie;o;15:16;< ;15:35;15:54;16:13;16:17;< ;;16:43;16:54;;17:06
3,082;Warszawa Centralna;p;< ;15:19;< ;< ;< ;< ;16:26;;< ;< ;;< 
;;o;< ;15:25;< ;< ;< ;< ;16:30;;< ;< ;;< 
4,872;Warszawa Powiœle Warszawa Stadion;o o;15:19;< ;15:38;15:57;16:16;16:20;< ;;16:46;16:57;;17:09
6,278;;;15:22;< ;15:41;16:00;16:18;16:22;< ;;16:48;17:00;;17:11
7,336;Warszawa Wschodnia;p;15:24;15:31;15:43;16:02;16:20;16:24;16:36; ;16:50;17:02;;17:13
;;o;15:25;15:32;15:44;16:04;16:21;16:25;16:37;16:47;16:51;17:03;;17:14
14,835;Warszawa Rembertów;p;15:32;|;15:50;16:10;16:28;16:32;|;|;16:58;17:09;;17:21
;;o; ;|;15:51;16:11;16:29; ;|;|;16:59;17:10;; 
19,467;W-wa Weso³a;o o;;|;15:55;16:16;16:33;;|;|;17:03;17:15;;
21,265;W-wa Wola Grzybowska;;;|;15:57;16:18;16:36;;|;|;17:05;17:17;;
23,071;Sulejówek;o;;|;16:00;16:21;16:38;;|;|;17:08;17:20;;
24,649;Sulejówek Mi³osna;p;;|;16:02;16:22;16:40;;|;17:04;17:10;17:21;;
;;o;;|;16:02;16:32;16:41;;|;17:05;17:10;17:22;;
28,746;Halinów Cisie;o o;;15:47;16:06;16:35;16:44;;16:53;|;17:14;17:25;;
31,895;;;;|;16:09;16:38;16:47;;|;|;17:17;17:28;;
34,433;Dêbe Wielkie;o o;;|;16:12;16:41;16:50;;|;|;17:20;17:31;;
35,743;Nowe Dêbe Wielkie;;;|;16:14;16:43;16:52;;|;|;17:22;17:33;;
38,882;Wrzosów;o;;|;16:17;16:46;16:55;;|;|;17:25;17:36;;
43,677;Miñsk Maz.;p;;15:57;16:21;16:49;16:59;;17:03;;17:29;17:39;;
;;o;;15:58;16:29;16:50; ;;17:05;;17:30;17:40;;
46,169;Miñsk Maz. Anielina Barcz¹ca;o o;;|;16:32;16:53;;;|;;17:33;17:43;;
49,225;;;;|;16:35;16:56;;;|;;17:36;17:46;;
53,486;Mienia Ceg³ów;o o;;|;16:38;16:59;;;|;;17:39;17:50;;
56,866;;;;16:05;16:42;17:02;;;17:12;;17:43;17:53;;
61,767;Mrozy;p;;16:08;16:46;17:06;;;17:16;;17:47;17:56;;
66,876;Grodziszcze Maz.;o o;;16:09; ;17:06;;;17:17;; ;17:57;;
;;;;|;;17:10;;;|;;;18:01;;
71,847;Sosnowe Koszewnica;o o;;|;;17:14;;;|;;;18:04;;
75,251;;;;|;;17:17;;;|;;;18:08;;
80,51;Kotuñ Sabinka;o o;;16:18;;17:21;;;17:27;;;18:12;;
88,427;;;;|;;17:26;;;|;;;18:18;;
92,945;Siedlce Zach.;o;;16:25;;17:29;;;17:34;;;18:22;;
95,776;Siedlce;p;;16:28;;17:32;;;17:37;;;18:25; ;
;;o;; ;; ;;;17:39;;; ;18:30;
98,496;Siedlce Wschodnie;o o;;;;;;;17:43;;;;18:33;
100,417;Bia³ki Siedleckie;;;;;;;;17:46;;;;18:36;
103,415;Kosiorki;o o;;;;;;;17:49;;;;18:39;
105,962;Borki Kosy;;;;;;;;17:52;;;;18:42;
110,404;Dziewule Radomyœl;o o;;;;;;;17:56;;;;18:46;
113,036;;;;;;;;;17:59;;;;18:49;
115,76;Krynka £ukowska;o p;;;;;;;18:02;;;;18:52;
