stacja;latitude;longitude;cnt_arriva;cnt_kd;cnt_km;cnt_kw;cnt_ks;cnt_ic;cnt_pr;cnt_skm_t;cnt_skm_w
Bydgoszcz Bielawy;53.131944;18.053333;12;0;0;0;0;0;19;0;0
Bydgoszcz Brdyujœcie;53.133889;18.13;10;0;0;0;0;0;0;0;0
Bydgoszcz Fordon;53.146944;18.158889;10;0;0;0;0;0;0;0;0
Bydgoszcz G³ówna;53.134444;17.99;27;0;0;0;0;40;22;0;0
Bydgoszcz Leœna;53.143889;18.032222;12;0;0;0;0;20;21;0;0
Bydgoszcz Osowa Góra;53.148056;17.9125;9;0;0;0;0;0;6;0;0
Bydgoszcz Wschód;53.128056;18.083889;12;0;0;0;0;20;21;0;0
Bydgoszcz Zachód;53.135556;17.950556;9;0;0;0;0;0;6;0;0
Bydgoszcz £êgnowo;53.108056;18.113056;2;0;0;0;0;0;17;0;0
Bystra Podhal.;49.653488;19.792292;0;0;0;0;0;0;5;0;0
Bystrzyca K³odzka;50.296667;16.654722;0;0;0;0;0;0;16;0;0
Bystrzyca K³odzka Przedmieœcie;50.285;16.646667;0;0;0;0;0;0;12;0;0
Bystrzyca k. Lublina;51.348628;22.639332;0;0;0;0;0;0;10;0;0
Bytnica;52.131111;15.148333;0;0;0;0;0;0;14;0;0
Bytom;50.343358;18.915111;0;0;0;0;14;2;0;0;0
Bytom Karb;50.351389;18.8825;0;0;0;0;14;0;0;0;0
Bytom Odrzañski;51.726111;15.821944;0;0;0;0;0;2;13;0;0
Bytom Pó³nocny;50.377222;18.880278;0;0;0;0;14;0;0;0;0
Bytonia;53.928056;18.256667;0;0;0;0;0;0;15;0;0
Bzowiec;54.018889;20.316389;0;0;0;0;0;0;4;0;0
B¹kowiec;51.5175;21.723611;0;0;21;0;0;0;0;0;0
B¹ków;50.956111;18.314167;0;0;0;0;0;0;10;0;0
Bêdow;52.072332;15.31364;0;0;0;0;0;0;14;0;0
Bêdziemyœl;50.066944;21.775278;0;0;0;0;0;0;19;0;0
Bêdzin;50.309167;19.141389;0;0;0;0;36;0;0;0;0
