R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
61,767;Mrozy;p;;;;16:20;;16:20;16:46;;;;17:22;17:46
66,876;Grodziszcze Maz.;o o;;;;16:21;;16:21;16:47;;;;17:23;17:47
;;;;;;|;;|;16:51;;;;|;17:51
71,847;Sosnowe Koszewnica;o o;;;;|;;|;16:55;;;;|;17:55
75,251;;;;;;|;;|;16:58;;;;|;17:58
80,51;Kotuń Sabinka;o o;;;;16:30;;16:30;17:02;;;;17:33;18:02
88,427;;;;;;|;;|;17:07;;;;|;18:07
92,945;Siedlce Zach.;o;;;;16:37;;16:37;17:10;;;;17:41;18:10
95,776;Siedlce;p;;; ;16:40;;16:40;17:13;;;;17:44;18:13
;;o;;;16:45; ;; ; ;;;;17:46; 
98,496;Siedlce Wschodnie;o o;;;16:48;;;;;;;;17:49;
100,417;Białki Siedleckie;;;;16:51;;;;;;;;17:52;
103,415;Kosiorki;o o;;;16:54;;;;;;;;17:55;
105,962;Borki Kosy;;;;16:57;;;;;;;;17:58;
110,404;Dziewule Radomyśl;o o;;;17:01;;;;;;;;18:02;
113,036;;;;;17:04;;;;;;;;18:05;
115,76;Krynka Łukowska;o p;;;17:07;;;;;;;;18:08;
123,53;Łuków;;;;17:12;;;;;;;;18:13;
Do stacji : ;;;;;Terespol;;;;;Dęblin;;;;
LEGENDA :;;;;;;;;;;;;;;
(B) kursuje od poniedziałku do piątku oraz w niedziele (D) kursuje od poniedziałku do piątku oprócz świąt Kolorem niebieskim oznaczono poc. spółki Przewozy Regionalne.;;;;;;;;;;;;;;
UWAGI :;;;;;;;;;;;;;;
[1]   kursuje od 11.X w (D);;;;;;;;;;;;;;
[2]   kursuje do 10.X w (D);;;;;;;;;;;;;;
[3]   kursuje przez Sulejówek Miłosna;;;;;;;;;;;;;;
R2;;;R2;R2;R2;R2;RE2;R2;R2;R2;R2;R2;R2;RE2
Warszawa - Łuków ważny od 15.IX do 19.X;;;93250/1;93817 (D);10465;21826/7;93862/3;19877;10467 (D);93230/1;93732/3;93818/9;19879;19233
Km Od stacji : ;;;(D);;;(D);(D);;;(D);(D);(D);;(B) [1]
;;;Piaseczno;;;Radom;Żyrardów;;;Piaseczno;GRODZISK MAZ.;Piaseczno;;
